id,y_2011,y_2013,y_2015,y_2016
2,41,40,36,37
3,394,378,373,369
4,1,1,1,1
5,18,17,17,15
6,70,69,69,69
7,35,35,35,33
8,7,7,7,6
9,19,19,19,19
10,63,62,62,62
11,38,39,39,39
12,9,9,9,9
13,61,61,62,61
14,8,9,9,9
15,5,4,4,4
16,42,39,40,39
17,21,21,21,21
18,12,13,13,13
19,5,5,5,6
20,2,2,2,2
21,178,174,172,172
22,83,78,77,76
23,6,6,6,6
24,19,17,15,15
25,6,6,6,6
26,7,6,5,5
27,3,3,4,4
28,3,3,3,3
29,1,1,1,1
30,125,127,124,123
31,3,2,2,2
32,9,9,9,9
33,7,8,8,8
34,7,7,7,7
35,43,42,41,41
36,29,30,31,31
37,32,32,30,32
38,95,99,106,106
39,5,6,5,5
40,5,5,5,5
41,2,2,2,2
42,2,2,2,2
43,3,3,3,3
44,6,6,6,6
45,2,2,2,3
46,7,7,7,7
47,8,8,8,7
48,6,6,6,5
49,9,9,9,9
50,16,15,15,15
51,48,48,48,47
52,80,74,72,73
53,25,25,26,26
54,21,21,21,21
55,27,27,27,27
56,7,7,8,8
57,14,11,9,9
58,21,21,21,21
59,18,18,17,17
60,15,15,15,17
61,3,2,2,2
62,,,,1
64,15,21,21,22
65,7,8,8,7
66,41,42,40,39
67,7,8,8,8
68,93,96,96,98
69,8,8,8,9
70,18,18,18,19
71,8,8,8,8
72,38,41,42,44
73,40,41,42,42
74,4,4,2,2
75,3,3,2,1
76,7,8,8,9
77,19,20,21,21
78,43,45,45,46
79,6,6,5,5
80,4,4,4,4
81,1,1,2,2
82,9,10,10,11
83,4,4,4,4
84,8,9,9,9
85,16,16,16,16
86,12,12,12,12
87,17,17,18,18
88,54,51,49,50
89,2,2,2,2
90,22,22,22,22
91,1,1,1,1
92,30,34,36,36
93,36,36,37,36
94,37,37,37,37
95,29,30,30,30
96,29,29,31,31
97,3,3,3,3
98,6,5,5,5
99,1,1,1,1
100,86,87,87,87
101,4,5,5,5
102,5,6,6,6
103,8,7,5,5
105,1,1,1,1
106,35,38,38,38
107,3,3,3,2
108,23,23,23,24
109,28,28,28,29
110,14,14,14,14
111,18,18,18,18
112,4,4,4,4
113,27,27,28,28
114,35,35,36,37
115,25,28,29,29
116,296,296,297,297
117,12,12,12,12
118,2,2,2,2
119,16,16,16,16
120,18,18,18,17
121,23,23,23,23
122,34,30,30,26
123,28,29,30,30
124,82,84,83,83
125,41,41,41,41
126,4,4,4,4
127,24,18,17,16
128,19,19,18,18
